branch,order_id,order_dt,category,menu,sweet_level,qty,price,cost,trans_type,payment,gender,membership,order_wait_time
alpha,alpha22-010853,2022-03-24 09:13:00,tea,Bubble Tea,0.5,2,70,30,eat in,cash,M,True,6.0686751785332245
alpha,alpha22-010854,2022-03-24 09:18:00,coffee,Espresso,0.0,3,55,30,delivery,credit card,F,True,5.035612015440979
alpha,alpha22-010855,2022-03-24 09:20:00,coffee,Americano,1.0,1,45,25,eat in,credit card,M,True,4.6912537175940034
alpha,alpha22-010856,2022-03-24 09:24:00,bakery,Croissant,,1,85,50,to go,credit card,M,True,3.4274545960172516
alpha,alpha22-010857,2022-03-24 09:39:00,smoothie,Strawberry Smoothie,0.5,2,85,45,to go,cash,M,True,3.924835791431217
alpha,alpha22-010858,2022-03-24 09:46:00,tea,Yuzu Tea,1.0,2,70,30,to go,mobile,F,True,5.5964204463674445
alpha,alpha22-010859,2022-03-24 09:52:00,coffee,Latte,0.75,1,70,35,eat in,gift card,M,True,6.155322972880558
alpha,alpha22-010860,2022-03-24 09:55:00,coffee,Cappuccino,0.25,1,75,40,to go,credit card,F,False,3.7249686976715606
alpha,alpha22-010861,2022-03-24 10:10:00,bakery,Cookies,,1,85,45,eat in,credit card,F,False,6.505877945005299
alpha,alpha22-010861,2022-03-24 10:10:00,smoothie,Kiwi Smoothie,0.0,1,90,50,eat in,credit card,F,False,8.005877945005299
alpha,alpha22-010862,2022-03-24 10:11:00,tea,Green Tea,0.75,1,65,30,to go,mobile,M,False,3.5227736363672157
alpha,alpha22-010863,2022-03-24 10:23:00,tea,Bubble Tea,0.0,2,70,30,to go,credit card,F,False,3.3732338133169026
alpha,alpha22-010864,2022-03-24 10:30:00,bakery,Donut,,1,40,15,to go,mobile,F,True,1.607419705897641
alpha,alpha22-010865,2022-03-24 10:32:00,coffee,Mocha,0.75,1,70,35,eat in,cash,M,False,4.650316380418588
alpha,alpha22-010866,2022-03-24 10:40:00,bakery,Cheese Cake,,1,120,80,to go,credit card,M,False,4.5597740868081615
alpha,alpha22-010867,2022-03-24 10:56:00,tea,Bubble Tea,0.25,1,70,30,to go,credit card,M,False,6.9748989449656955
alpha,alpha22-010868,2022-03-24 10:56:00,coffee,Cappuccino,0.75,1,75,40,to go,mobile,F,False,3.6222710278279195
alpha,alpha22-010983,2022-03-25 06:38:00,coffee,Espresso,0.0,2,55,30,to go,credit card,M,False,4.836664369338162
alpha,alpha22-010984,2022-03-25 06:41:00,coffee,Black Coffee,0.5,1,45,20,to go,mobile,M,False,2.2037568995835555
alpha,alpha22-010985,2022-03-25 06:49:00,bakery,Muffin,,2,60,30,to go,credit card,M,False,3.278633368894651
alpha,alpha22-010985,2022-03-25 06:49:00,coffee,Iced Coffee,0.5,2,60,30,to go,credit card,M,False,4.778633368894651
alpha,alpha22-010986,2022-03-25 07:10:00,bakery,Donut,,1,40,15,delivery,credit card,M,True,3.0364702910099957
alpha,alpha22-010986,2022-03-25 07:10:00,tea,Green Tea,0.5,3,65,30,delivery,credit card,M,True,6.036470291009996
alpha,alpha22-010987,2022-03-25 07:19:00,bakery,Croissant,,1,85,50,eat in,credit card,M,False,6.35144008954552
alpha,alpha22-010988,2022-03-25 07:27:00,coffee,Americano,0.0,1,45,25,eat in,credit card,M,False,3.2057390134059776
alpha,alpha22-010989,2022-03-25 07:47:00,smoothie,Strawberry Smoothie,0.25,1,85,45,to go,mobile,F,False,3.5693940192170235
alpha,alpha22-010990,2022-03-25 07:48:00,coffee,Iced Coffee,1.0,1,60,30,delivery,mobile,M,True,3.217006975098968
alpha,alpha22-010991,2022-03-25 07:48:00,coffee,Mocha,0.5,3,70,35,to go,cash,M,False,5.395334229122222
alpha,alpha22-010992,2022-03-25 07:54:00,coffee,Black Coffee,0.25,2,45,20,eat in,mobile,M,False,6.66398702131458
alpha,alpha22-010993,2022-03-25 07:56:00,coffee,Cappuccino,0.5,1,75,40,to go,credit card,F,False,3.747233825663019
alpha,alpha22-010994,2022-03-25 07:59:00,tea,Thai Tea,0.5,1,70,30,delivery,mobile,F,False,5.755725294502801
alpha,alpha22-010994,2022-03-25 07:59:00,bakery,Donut,,4,40,15,delivery,mobile,F,False,10.2557252945028
alpha,alpha22-010995,2022-03-25 08:00:00,bakery,Muffin,,1,60,30,to go,mobile,M,False,3.8730364093131566
alpha,alpha22-010996,2022-03-25 08:04:00,coffee,Americano,1.0,3,45,25,to go,credit card,F,False,5.722737634766591
alpha,alpha22-010997,2022-03-25 08:05:00,coffee,Americano,0.0,1,45,25,eat in,mobile,F,False,2.4947219484596284
alpha,alpha22-010998,2022-03-25 08:15:00,coffee,Iced Coffee,0.5,1,60,30,to go,mobile,M,True,4.144279077251199
alpha,alpha22-010999,2022-03-25 08:17:00,coffee,Mocha,0.5,1,70,35,to go,credit card,M,False,4.943608084062911
alpha,alpha22-011000,2022-03-25 08:20:00,coffee,Mocha,0.5,1,70,35,eat in,credit card,M,False,5.7825975693302
alpha,alpha22-011001,2022-03-25 08:22:00,tea,Bubble Tea,0.5,1,70,30,to go,credit card,F,True,2.030194936252404
alpha,alpha22-011002,2022-03-25 08:23:00,coffee,Iced Coffee,0.75,1,60,30,eat in,credit card,M,False,5.402409268639706
alpha,alpha22-011003,2022-03-25 08:30:00,bakery,Sandwich,,2,80,30,eat in,credit card,F,False,4.337069327366516
alpha,alpha22-011004,2022-03-25 08:37:00,smoothie,Kiwi Smoothie,1.0,1,90,50,delivery,credit card,F,True,3.6886008442098586
alpha,alpha22-011004,2022-03-25 08:37:00,coffee,Black Coffee,1.0,2,45,20,delivery,credit card,F,True,5.188600844209859
alpha,alpha22-011004,2022-03-25 08:37:00,bakery,Donut,,1,40,15,delivery,credit card,F,True,5.188600844209859
alpha,alpha22-011005,2022-03-25 08:37:00,smoothie,Watermelon Smoothie,0.25,1,75,40,eat in,credit card,M,False,3.872343720026121
alpha,alpha22-011006,2022-03-25 08:40:00,tea,Black Tea,0.25,2,45,20,to go,mobile,M,True,2.529148174877757
alpha,alpha22-011006,2022-03-25 08:40:00,bakery,Sandwich,,2,80,30,to go,mobile,M,True,4.029148174877757
alpha,alpha22-011007,2022-03-25 08:42:00,coffee,Black Coffee,0.75,2,45,20,to go,mobile,M,True,4.695453358605102
alpha,alpha22-011008,2022-03-25 08:45:00,coffee,Classic Black Cold Brew,1.0,1,100,35,eat in,mobile,M,False,3.3917936352354427
alpha,alpha22-011009,2022-03-25 08:46:00,bakery,Sandwich,,1,80,30,eat in,credit card,M,True,4.652271559707977
alpha,alpha22-011010,2022-03-25 08:53:00,smoothie,Mango Smoothie,0.75,1,90,45,to go,credit card,F,False,5.170900190345216
alpha,alpha22-011011,2022-03-25 08:58:00,coffee,Americano,0.0,1,45,25,eat in,mobile,F,False,3.161740609841752
alpha,alpha22-011012,2022-03-25 09:01:00,bakery,Donut,,3,40,15,delivery,credit card,M,False,4.53245309224926
alpha,alpha22-011012,2022-03-25 09:01:00,coffee,Black Coffee,0.25,1,45,20,delivery,credit card,M,False,4.53245309224926
alpha,alpha22-011013,2022-03-25 09:01:00,coffee,Mocha,0.75,1,70,35,eat in,credit card,F,True,3.9048309743364134
alpha,alpha22-011014,2022-03-25 09:01:00,coffee,Americano,1.0,1,45,25,to go,credit card,F,True,2.7248616456417567
alpha,alpha22-011014,2022-03-25 09:01:00,bakery,Croissant,,1,85,50,to go,credit card,F,True,4.224861645641757
alpha,alpha22-011015,2022-03-25 09:10:00,tea,Green Tea,0.75,2,65,30,to go,mobile,F,True,1.756447035412429
alpha,alpha22-011016,2022-03-25 09:18:00,coffee,Cappuccino,0.25,1,75,40,eat in,mobile,F,False,2.3419252541828866
alpha,alpha22-011017,2022-03-25 09:20:00,tea,Black Tea,1.0,1,45,20,delivery,credit card,M,False,5.659744752239281
alpha,alpha22-011017,2022-03-25 09:20:00,coffee,Espresso,0.75,4,55,30,delivery,credit card,M,False,10.15974475223928
alpha,alpha22-011018,2022-03-25 09:24:00,coffee,Black Coffee,1.0,1,45,20,eat in,gift card,M,False,6.347735555060643
alpha,alpha22-011019,2022-03-25 09:24:00,bakery,Sandwich,,3,80,30,delivery,credit card,F,False,6.447910531851999
alpha,alpha22-011019,2022-03-25 09:24:00,coffee,Iced Coffee,0.25,1,60,30,delivery,credit card,F,False,6.447910531851999
alpha,alpha22-011019,2022-03-25 09:24:00,tea,Green Tea,0.5,3,65,30,delivery,credit card,F,False,7.947910531851999
alpha,alpha22-011020,2022-03-25 09:27:00,coffee,Black Coffee,0.5,1,45,20,to go,mobile,F,True,4.5075223878673665
alpha,alpha22-011021,2022-03-25 09:28:00,smoothie,Mango Smoothie,0.5,3,90,45,to go,mobile,M,False,4.408403994177864
alpha,alpha22-011022,2022-03-25 09:32:00,coffee,Black Coffee,0.25,1,45,20,to go,mobile,F,False,3.814339119681159
alpha,alpha22-011023,2022-03-25 09:38:00,bakery,Croissant,,1,85,50,eat in,credit card,M,False,4.936174800805352
alpha,alpha22-011024,2022-03-25 09:44:00,bakery,Croissant,,2,85,50,eat in,cash,F,False,1.9553019197883552
alpha,alpha22-011025,2022-03-25 09:49:00,tea,Jasmine Tea,0.5,2,55,25,eat in,mobile,M,False,6.409540607567653
alpha,alpha22-011026,2022-03-25 10:10:00,tea,Thai Tea,0.75,1,70,30,to go,mobile,F,False,5.96211706181178
alpha,alpha22-011026,2022-03-25 10:10:00,bakery,Croissant,,1,85,50,to go,mobile,F,False,7.46211706181178
alpha,alpha22-011027,2022-03-25 10:25:00,tea,Green Tea,0.75,1,65,30,to go,mobile,M,False,6.342630757323544
alpha,alpha22-011027,2022-03-25 10:25:00,bakery,Cookies,,1,85,45,to go,mobile,M,False,7.842630757323544
alpha,alpha22-011028,2022-03-25 10:28:00,tea,Thai Tea,0.25,1,70,30,eat in,credit card,F,False,4.243822311795429
alpha,alpha22-011029,2022-03-25 10:50:00,coffee,Espresso,0.5,1,55,30,to go,credit card,M,True,3.58001965120057
alpha,alpha22-011030,2022-03-25 10:54:00,bakery,Donut,,1,40,15,eat in,mobile,F,False,3.2614919247688023
alpha,alpha22-011154,2022-03-26 06:59:00,coffee,Americano,0.5,2,45,25,to go,credit card,M,True,2.3508510420299578
alpha,alpha22-011155,2022-03-26 07:41:00,coffee,Mocha Cold Brew,0.75,1,165,55,eat in,credit card,F,False,2.726793617232473
alpha,alpha22-011156,2022-03-26 07:58:00,coffee,Cappuccino,0.0,1,75,40,to go,mobile,M,False,4.3093236614799535
alpha,alpha22-011157,2022-03-26 08:08:00,tea,Black Tea,0.5,1,45,20,to go,credit card,M,False,5.9556339850091025
alpha,alpha22-011158,2022-03-26 08:27:00,coffee,Iced Coffee,0.25,1,60,30,delivery,mobile,F,False,2.833706908301125
alpha,alpha22-011158,2022-03-26 08:27:00,tea,Yuzu Tea,0.5,2,70,30,delivery,mobile,F,False,4.333706908301124
alpha,alpha22-011159,2022-03-26 08:31:00,tea,Green Tea,0.0,1,65,30,eat in,credit card,M,False,5.771526546281316
alpha,alpha22-011160,2022-03-26 08:40:00,tea,Green Tea,0.25,1,65,30,eat in,gift card,M,False,5.390733616330571
alpha,alpha22-011161,2022-03-26 08:50:00,coffee,Espresso,0.25,1,55,30,to go,credit card,M,True,2.913278280436411
alpha,alpha22-011162,2022-03-26 08:52:00,coffee,Black Coffee,0.0,3,45,20,to go,credit card,M,False,5.527960901908628
alpha,alpha22-011163,2022-03-26 08:59:00,coffee,Cappuccino,1.0,1,75,40,to go,mobile,M,False,1.5833717046065034
alpha,alpha22-011164,2022-03-26 09:13:00,bakery,Sandwich,,2,80,30,eat in,credit card,M,False,4.849510540135083
alpha,alpha22-011165,2022-03-26 09:20:00,bakery,Croissant,,1,85,50,eat in,credit card,M,False,3.4850581030255667
alpha,alpha22-011165,2022-03-26 09:20:00,tea,Bubble Tea,0.5,1,70,30,eat in,credit card,M,False,4.985058103025567
alpha,alpha22-011166,2022-03-26 09:21:00,coffee,Mocha,0.0,1,70,35,eat in,credit card,M,False,3.9831809016615143
alpha,alpha22-011167,2022-03-26 10:00:00,coffee,Mocha Cold Brew,0.75,2,165,55,to go,mobile,M,False,2.0501132123488093
alpha,alpha22-011202,2022-03-27 07:41:00,smoothie,Watermelon Smoothie,0.5,2,75,40,delivery,credit card,F,True,5.169602410620202
alpha,alpha22-011202,2022-03-27 07:41:00,coffee,Classic Black Cold Brew,0.5,1,100,35,delivery,credit card,F,True,6.669602410620202
alpha,alpha22-011203,2022-03-27 08:03:00,bakery,Muffin,,1,60,30,to go,mobile,F,False,3.330124829747728
alpha,alpha22-011203,2022-03-27 08:03:00,bakery,Sandwich,,1,80,30,to go,mobile,F,False,4.830124829747728
alpha,alpha22-011204,2022-03-27 10:10:00,coffee,Black Coffee,1.0,1,45,20,eat in,mobile,M,False,2.8696985613503347
alpha,alpha22-011205,2022-03-27 10:46:00,coffee,Espresso,1.0,2,55,30,to go,credit card,M,False,2.5310885172999376
alpha,alpha22-011217,2022-03-28 06:27:00,smoothie,Kiwi Smoothie,0.75,2,90,50,delivery,credit card,F,False,3.993708035174515
alpha,alpha22-011218,2022-03-28 06:44:00,coffee,Mocha,0.5,1,70,35,to go,credit card,F,False,5.047281610659873
alpha,alpha22-011219,2022-03-28 06:55:00,coffee,Iced Coffee,1.0,1,60,30,delivery,mobile,M,False,4.482993386020229
alpha,alpha22-011219,2022-03-28 06:55:00,bakery,Croissant,,2,85,50,delivery,mobile,M,False,5.982993386020229
alpha,alpha22-011220,2022-03-28 07:02:00,bakery,Croissant,,2,85,50,eat in,credit card,F,True,4.650727168078545
alpha,alpha22-011220,2022-03-28 07:02:00,bakery,Sandwich,,2,80,30,eat in,credit card,F,True,6.150727168078545
alpha,alpha22-011221,2022-03-28 07:11:00,coffee,Mocha Cold Brew,0.5,2,165,55,to go,credit card,M,False,5.033950553638311
alpha,alpha22-011222,2022-03-28 07:27:00,coffee,Mocha,0.5,1,70,35,eat in,mobile,F,False,2.694371293694282
alpha,alpha22-011223,2022-03-28 07:32:00,bakery,Cookies,,2,85,45,delivery,gift card,M,False,4.911763707580226
alpha,alpha22-011223,2022-03-28 07:32:00,smoothie,Watermelon Smoothie,1.0,1,75,40,delivery,gift card,M,False,6.411763707580226
alpha,alpha22-011224,2022-03-28 07:33:00,smoothie,Watermelon Smoothie,1.0,2,75,40,eat in,cash,M,False,4.542978849561569
alpha,alpha22-011224,2022-03-28 07:33:00,bakery,Croissant,,2,85,50,eat in,cash,M,False,6.042978849561569
alpha,alpha22-011225,2022-03-28 07:33:00,coffee,Black Coffee,0.25,3,45,20,delivery,mobile,M,True,2.8005196135748447
alpha,alpha22-011225,2022-03-28 07:33:00,bakery,Sandwich,,1,80,30,delivery,mobile,M,True,2.8005196135748447
alpha,alpha22-011226,2022-03-28 07:44:00,bakery,Croissant,,1,85,50,delivery,gift card,M,False,2.00686180055071
alpha,alpha22-011226,2022-03-28 07:44:00,coffee,Americano,0.25,2,45,25,delivery,gift card,M,False,3.50686180055071
alpha,alpha22-011226,2022-03-28 07:44:00,coffee,Black Coffee,1.0,1,45,20,delivery,gift card,M,False,3.50686180055071
alpha,alpha22-011227,2022-03-28 07:44:00,coffee,Cappuccino,0.5,1,75,40,eat in,mobile,M,True,4.848278831127741
alpha,alpha22-011228,2022-03-28 07:54:00,coffee,Espresso,0.75,2,55,30,to go,mobile,M,True,2.894216805486626
alpha,alpha22-011229,2022-03-28 07:57:00,coffee,Cappuccino,0.5,2,75,40,eat in,credit card,M,True,4.452330405350931
alpha,alpha22-011230,2022-03-28 07:58:00,tea,Black Tea,0.5,2,45,20,eat in,credit card,M,False,4.842080262650147
alpha,alpha22-011231,2022-03-28 07:59:00,tea,Bubble Tea,0.5,1,70,30,delivery,mobile,M,False,4.029356971940199
alpha,alpha22-011232,2022-03-28 08:01:00,coffee,Iced Coffee,1.0,1,60,30,eat in,credit card,M,False,3.6386976424620676
alpha,alpha22-011233,2022-03-28 08:09:00,tea,Black Tea,1.0,1,45,20,to go,mobile,M,True,3.6855830117509387
alpha,alpha22-011234,2022-03-28 08:09:00,bakery,Donut,,1,40,15,eat in,mobile,M,True,5.175245534837147
alpha,alpha22-011234,2022-03-28 08:09:00,coffee,Iced Coffee,0.25,1,60,30,eat in,mobile,M,True,6.675245534837147
alpha,alpha22-011235,2022-03-28 08:11:00,coffee,Iced Coffee,0.5,1,60,30,to go,mobile,F,True,3.0718481354760256
alpha,alpha22-011236,2022-03-28 08:20:00,tea,Green Tea,0.75,1,65,30,eat in,gift card,F,False,2.4201713251927677
alpha,alpha22-011237,2022-03-28 08:23:00,coffee,Americano,1.0,1,45,25,eat in,credit card,M,False,2.0775530181119994
alpha,alpha22-011238,2022-03-28 08:24:00,bakery,Sandwich,,2,80,30,eat in,mobile,M,True,4.967900265696465
alpha,alpha22-011239,2022-03-28 08:26:00,coffee,Classic Black Cold Brew,0.25,2,100,35,delivery,mobile,M,False,5.1914598600826505
alpha,alpha22-011239,2022-03-28 08:26:00,bakery,Croissant,,1,85,50,delivery,mobile,M,False,6.6914598600826505
alpha,alpha22-011240,2022-03-28 08:31:00,coffee,Mocha,0.5,1,70,35,eat in,mobile,F,True,2.7757738770569214
alpha,alpha22-011240,2022-03-28 08:31:00,bakery,Donut,,1,40,15,eat in,mobile,F,True,4.275773877056921
alpha,alpha22-011241,2022-03-28 08:33:00,coffee,Mocha,0.75,1,70,35,delivery,mobile,F,False,3.307947581889686
alpha,alpha22-011242,2022-03-28 08:33:00,bakery,Croissant,,2,85,50,delivery,mobile,F,False,3.9384625802763202
alpha,alpha22-011242,2022-03-28 08:33:00,coffee,Iced Coffee,0.5,3,60,30,delivery,mobile,F,False,6.938462580276321
alpha,alpha22-011242,2022-03-28 08:33:00,coffee,Cappuccino,0.5,2,75,40,delivery,mobile,F,False,5.438462580276321
alpha,alpha22-011243,2022-03-28 08:35:00,smoothie,Mango Smoothie,0.5,3,90,45,to go,mobile,M,False,4.738714536510214
alpha,alpha22-011244,2022-03-28 08:44:00,bakery,Croissant,,1,85,50,to go,credit card,M,True,4.663746286143951
alpha,alpha22-011244,2022-03-28 08:44:00,coffee,Mocha Cold Brew,0.75,1,165,55,to go,credit card,M,True,6.163746286143951
alpha,alpha22-011245,2022-03-28 09:00:00,bakery,Sandwich,,1,80,30,delivery,credit card,M,False,3.267283982438014
alpha,alpha22-011245,2022-03-28 09:00:00,tea,Green Tea,0.5,3,65,30,delivery,credit card,M,False,6.267283982438014
alpha,alpha22-011245,2022-03-28 09:00:00,coffee,Latte,1.0,1,70,35,delivery,credit card,M,False,4.767283982438014
alpha,alpha22-011246,2022-03-28 09:02:00,smoothie,Strawberry Smoothie,0.5,1,85,45,to go,credit card,M,True,3.8618005047427784
alpha,alpha22-011247,2022-03-28 09:10:00,bakery,Cookies,,1,85,45,to go,mobile,F,False,4.914543790843387
alpha,alpha22-011248,2022-03-28 09:11:00,coffee,Iced Coffee,0.25,2,60,30,eat in,credit card,M,False,3.1569176321791765
alpha,alpha22-011249,2022-03-28 09:16:00,bakery,Croissant,,2,85,50,eat in,mobile,M,False,3.3013553858462807
alpha,alpha22-011249,2022-03-28 09:16:00,coffee,Latte,0.5,2,70,35,eat in,mobile,M,False,4.80135538584628
alpha,alpha22-011250,2022-03-28 09:20:00,bakery,Croissant,,2,85,50,to go,mobile,M,False,1.5569006936757668
alpha,alpha22-011251,2022-03-28 09:20:00,tea,Thai Tea,0.5,1,70,30,to go,cash,M,False,4.872022813354185
alpha,alpha22-011252,2022-03-28 09:22:00,bakery,Donut,,1,40,15,eat in,credit card,M,False,5.279937873458978
alpha,alpha22-011252,2022-03-28 09:22:00,bakery,Croissant,,1,85,50,eat in,credit card,M,False,6.779937873458978
alpha,alpha22-011253,2022-03-28 09:28:00,coffee,Black Coffee,0.5,1,45,20,to go,credit card,M,False,1.4994553226939238
alpha,alpha22-011254,2022-03-28 09:32:00,bakery,Sandwich,,1,80,30,to go,credit card,M,False,3.2146023985374947
alpha,alpha22-011255,2022-03-28 09:37:00,bakery,Croissant,,2,85,50,eat in,credit card,M,False,4.111917113546731
alpha,alpha22-011255,2022-03-28 09:37:00,bakery,Sandwich,,2,80,30,eat in,credit card,M,False,5.611917113546731
alpha,alpha22-011256,2022-03-28 09:44:00,coffee,Classic Black Cold Brew,0.5,1,100,35,eat in,credit card,M,False,5.187426791152748
alpha,alpha22-011257,2022-03-28 09:47:00,bakery,Sandwich,,1,80,30,to go,mobile,F,True,4.22341415181441
alpha,alpha22-011257,2022-03-28 09:47:00,coffee,Cappuccino,0.0,1,75,40,to go,mobile,F,True,5.72341415181441
alpha,alpha22-011258,2022-03-28 09:51:00,smoothie,Mango Smoothie,0.5,3,90,45,to go,credit card,F,False,3.9432360996938858
alpha,alpha22-011259,2022-03-28 10:03:00,coffee,Latte,1.0,1,70,35,eat in,credit card,F,False,3.7173078229425496
alpha,alpha22-011260,2022-03-28 10:06:00,coffee,Mocha Cold Brew,0.5,1,165,55,eat in,mobile,F,False,4.65149863491043
alpha,alpha22-011261,2022-03-28 10:13:00,coffee,Cappuccino,1.0,1,75,40,to go,mobile,F,False,4.323725511778951
alpha,alpha22-011262,2022-03-28 10:15:00,coffee,Espresso,0.75,1,55,30,eat in,credit card,M,False,2.280838134064562
alpha,alpha22-011263,2022-03-28 10:16:00,coffee,Americano,0.0,1,45,25,eat in,gift card,F,False,3.324841254675447
alpha,alpha22-011264,2022-03-28 10:25:00,coffee,Black Coffee,0.5,1,45,20,eat in,mobile,M,False,4.362315081546176
alpha,alpha22-011265,2022-03-28 10:34:00,coffee,Iced Coffee,0.0,2,60,30,eat in,gift card,M,False,3.344534269621879
alpha,alpha22-011266,2022-03-28 10:34:00,tea,Thai Tea,0.75,1,70,30,to go,credit card,F,False,2.7912268610866238
alpha,alpha22-011267,2022-03-28 10:55:00,coffee,Latte,0.25,1,70,35,eat in,credit card,M,False,4.247215550603627
alpha,alpha22-011268,2022-03-28 10:58:00,coffee,Americano,0.0,2,45,25,eat in,credit card,F,True,4.486757345261619
alpha,alpha22-011268,2022-03-28 10:58:00,bakery,Croissant,,2,85,50,eat in,credit card,F,True,5.986757345261619
alpha,alpha22-011412,2022-03-29 06:22:00,coffee,Black Coffee,0.5,1,45,20,eat in,credit card,M,False,3.8571869405952195
alpha,alpha22-011413,2022-03-29 06:29:00,coffee,Cappuccino,0.5,3,75,40,to go,credit card,M,True,4.120776549561958
alpha,alpha22-011414,2022-03-29 06:51:00,coffee,Mocha,1.0,2,70,35,delivery,mobile,M,False,2.5253728518883527
alpha,alpha22-011415,2022-03-29 07:04:00,coffee,Iced Coffee,0.75,1,60,30,to go,credit card,F,True,4.985168355246249
alpha,alpha22-011415,2022-03-29 07:04:00,bakery,Muffin,,1,60,30,to go,credit card,F,True,6.485168355246249
alpha,alpha22-011416,2022-03-29 07:15:00,smoothie,Mango Smoothie,0.5,2,90,45,eat in,credit card,M,False,3.953805533207727
alpha,alpha22-011417,2022-03-29 07:18:00,coffee,Americano,0.5,1,45,25,eat in,mobile,M,False,4.30352642535112
alpha,alpha22-011418,2022-03-29 07:21:00,coffee,Cappuccino,0.25,1,75,40,to go,mobile,M,True,3.8023248284367583
alpha,alpha22-011419,2022-03-29 07:30:00,coffee,Americano,0.25,2,45,25,eat in,credit card,F,False,3.8886571704142265
alpha,alpha22-011420,2022-03-29 07:34:00,bakery,Donut,,1,40,15,eat in,mobile,F,False,5.536931609802596
alpha,alpha22-011421,2022-03-29 07:34:00,tea,Thai Tea,0.5,2,70,30,to go,mobile,F,False,1.7705341453333299
alpha,alpha22-011422,2022-03-29 07:36:00,tea,Green Tea,1.0,1,65,30,to go,mobile,M,True,2.698282077921998
alpha,alpha22-011423,2022-03-29 07:45:00,tea,Yuzu Tea,0.75,6,70,30,to go,mobile,F,False,10.321673446949173
alpha,alpha22-011424,2022-03-29 07:55:00,coffee,Latte,1.0,1,70,35,eat in,credit card,M,True,3.6486285339493087
alpha,alpha22-011425,2022-03-29 07:56:00,coffee,Black Coffee,0.5,1,45,20,eat in,mobile,M,True,3.481566189068819
alpha,alpha22-011426,2022-03-29 07:59:00,coffee,Cappuccino,1.0,2,75,40,to go,mobile,F,False,4.486044116145344
alpha,alpha22-011427,2022-03-29 08:04:00,bakery,Croissant,,3,85,50,to go,credit card,M,True,5.944095057125701
alpha,alpha22-011427,2022-03-29 08:04:00,tea,Thai Tea,0.5,3,70,30,to go,credit card,M,True,7.444095057125701
alpha,alpha22-011428,2022-03-29 08:08:00,coffee,Black Coffee,1.0,1,45,20,to go,mobile,F,False,2.599673751657318
alpha,alpha22-011429,2022-03-29 08:09:00,coffee,Latte,0.5,1,70,35,delivery,credit card,M,False,4.28252403037857
alpha,alpha22-011430,2022-03-29 08:09:00,bakery,Muffin,,1,60,30,eat in,cash,M,False,5.807814111621067
alpha,alpha22-011431,2022-03-29 08:14:00,coffee,Iced Coffee,0.5,2,60,30,delivery,credit card,M,False,3.0347462730395103
alpha,alpha22-011431,2022-03-29 08:14:00,coffee,Americano,0.75,4,45,25,delivery,credit card,M,False,7.53474627303951
alpha,alpha22-011432,2022-03-29 08:19:00,coffee,Cappuccino,0.75,1,75,40,eat in,mobile,M,False,5.209978641516825
alpha,alpha22-011433,2022-03-29 08:22:00,bakery,Muffin,,2,60,30,eat in,mobile,M,False,4.796357566860559
alpha,alpha22-011434,2022-03-29 08:22:00,smoothie,Mango Smoothie,1.0,1,90,45,eat in,cash,M,False,4.105679638963214
alpha,alpha22-011435,2022-03-29 08:26:00,smoothie,Strawberry Smoothie,1.0,1,85,45,eat in,credit card,M,True,1.507957173780306
alpha,alpha22-011436,2022-03-29 08:31:00,bakery,Croissant,,1,85,50,eat in,credit card,M,True,4.887543302168725
alpha,alpha22-011437,2022-03-29 08:32:00,bakery,Donut,,2,40,15,to go,credit card,M,True,6.976317218326071
alpha,alpha22-011438,2022-03-29 08:35:00,bakery,Sandwich,,2,80,30,eat in,mobile,M,True,4.296276508781233
alpha,alpha22-011439,2022-03-29 08:36:00,coffee,Mocha,0.5,1,70,35,to go,credit card,F,True,4.007398200230762
alpha,alpha22-011440,2022-03-29 08:37:00,smoothie,Mango Smoothie,0.5,1,90,45,delivery,credit card,M,False,2.5080524182533503
alpha,alpha22-011440,2022-03-29 08:37:00,coffee,Latte,0.75,3,70,35,delivery,credit card,M,False,5.50805241825335
alpha,alpha22-011441,2022-03-29 08:45:00,smoothie,Mango Smoothie,0.25,1,90,45,eat in,mobile,M,True,6.051642832808163
alpha,alpha22-011442,2022-03-29 08:54:00,tea,Jasmine Tea,0.5,2,55,25,eat in,mobile,F,False,5.024021602382611
alpha,alpha22-011443,2022-03-29 08:56:00,bakery,Croissant,,1,85,50,to go,mobile,M,False,1.9066273784824062
alpha,alpha22-011443,2022-03-29 08:56:00,coffee,Black Coffee,0.5,1,45,20,to go,mobile,M,False,3.406627378482406
alpha,alpha22-011444,2022-03-29 09:04:00,tea,Thai Tea,0.5,1,70,30,to go,mobile,M,False,3.144132065978911
alpha,alpha22-011445,2022-03-29 09:07:00,bakery,Croissant,,1,85,50,to go,mobile,M,False,4.741614407374569
alpha,alpha22-011446,2022-03-29 09:11:00,bakery,Donut,,2,40,15,eat in,mobile,F,False,3.746746471406033
alpha,alpha22-011447,2022-03-29 09:18:00,coffee,Americano,1.0,2,45,25,delivery,mobile,M,False,4.415569331018949
alpha,alpha22-011447,2022-03-29 09:18:00,coffee,Iced Coffee,0.25,1,60,30,delivery,mobile,M,False,5.915569331018949
alpha,alpha22-011448,2022-03-29 09:19:00,tea,Bubble Tea,0.75,1,70,30,delivery,mobile,M,False,3.3368216397824395
alpha,alpha22-011449,2022-03-29 09:22:00,coffee,Americano,1.0,2,45,25,eat in,mobile,M,True,3.7794350063978936
